areaId,timestamp,temperatureC,precipitationMm,windKph,icyFlag
3,2026-03-20T16:00:00+00:00,9.38,0.28,29.04,0
3,2026-03-20T17:00:00+00:00,8.0,2.64,16.46,0
3,2026-03-20T18:00:00+00:00,6.71,0.27,19.09,0
3,2026-03-20T19:00:00+00:00,7.84,0.81,20.25,0
3,2026-03-20T20:00:00+00:00,6.37,1.98,10.96,0
3,2026-03-20T21:00:00+00:00,3.18,0.84,18.52,0
3,2026-03-20T22:00:00+00:00,3.92,0.0,12.2,0
3,2026-03-20T23:00:00+00:00,3.77,0.0,14.14,0
3,2026-03-21T00:00:00+00:00,5.23,0.57,8.87,0
3,2026-03-21T01:00:00+00:00,3.99,1.66,26.26,0
3,2026-03-21T02:00:00+00:00,6.52,0.84,11.63,0
3,2026-03-21T03:00:00+00:00,5.01,4.01,25.46,0
3,2026-03-21T04:00:00+00:00,3.34,0.46,14.46,0
3,2026-03-21T05:00:00+00:00,2.22,0.19,3.49,0
3,2026-03-21T06:00:00+00:00,6.87,0.65,13.67,0
3,2026-03-21T07:00:00+00:00,7.98,0.84,16.46,0
3,2026-03-21T08:00:00+00:00,9.25,0.03,13.09,0
3,2026-03-21T09:00:00+00:00,11.72,1.88,9.51,0
3,2026-03-21T10:00:00+00:00,13.62,1.33,14.16,0
3,2026-03-21T11:00:00+00:00,9.44,0.0,8.5,0
3,2026-03-21T12:00:00+00:00,12.02,0.76,8.93,0
3,2026-03-21T13:00:00+00:00,8.02,1.28,18.02,0
3,2026-03-21T14:00:00+00:00,9.92,0.29,5.52,0
3,2026-03-21T15:00:00+00:00,10.11,3.32,18.58,0
3,2026-03-21T16:00:00+00:00,10.6,1.67,13.83,0
3,2026-03-21T17:00:00+00:00,14.19,0.0,5.12,0
3,2026-03-21T18:00:00+00:00,10.15,1.89,19.93,0
3,2026-03-21T19:00:00+00:00,10.0,1.5,18.05,0
3,2026-03-21T20:00:00+00:00,7.5,0.21,20.85,0
3,2026-03-21T21:00:00+00:00,5.78,0.89,17.13,0
3,2026-03-21T22:00:00+00:00,5.94,0.12,20.22,0
3,2026-03-21T23:00:00+00:00,7.32,0.14,15.64,0
3,2026-03-22T00:00:00+00:00,3.1,0.0,21.59,0
3,2026-03-22T01:00:00+00:00,4.43,1.2,26.59,0
3,2026-03-22T02:00:00+00:00,3.67,0.05,15.46,0
3,2026-03-22T03:00:00+00:00,6.81,0.92,14.77,0
3,2026-03-22T04:00:00+00:00,5.26,0.17,5.88,0
3,2026-03-22T05:00:00+00:00,3.8,0.0,15.27,0
3,2026-03-22T06:00:00+00:00,7.13,0.2,11.52,0
3,2026-03-22T07:00:00+00:00,8.21,1.19,6.38,0
3,2026-03-22T08:00:00+00:00,7.9,1.3,5.64,0
3,2026-03-22T09:00:00+00:00,9.17,1.24,17.87,0
3,2026-03-22T10:00:00+00:00,12.15,0.21,17.85,0
3,2026-03-22T11:00:00+00:00,8.69,0.8,12.44,0
3,2026-03-22T12:00:00+00:00,11.88,2.54,17.52,0
3,2026-03-22T13:00:00+00:00,14.99,1.71,12.79,0
3,2026-03-22T14:00:00+00:00,13.74,0.35,15.65,0
3,2026-03-22T15:00:00+00:00,10.13,0.56,7.98,0
3,2026-03-22T16:00:00+00:00,11.21,2.77,17.76,0
3,2026-03-22T17:00:00+00:00,6.04,0.0,9.98,0
3,2026-03-22T18:00:00+00:00,7.77,2.79,20.82,0
3,2026-03-22T19:00:00+00:00,6.64,0.0,21.59,0
3,2026-03-22T20:00:00+00:00,7.46,0.0,19.97,0
3,2026-03-22T21:00:00+00:00,7.04,1.36,12.92,0
3,2026-03-22T22:00:00+00:00,3.2,0.46,15.41,0
3,2026-03-22T23:00:00+00:00,7.43,0.36,11.39,0
3,2026-03-23T00:00:00+00:00,0.05,0.0,10.43,0
3,2026-03-23T01:00:00+00:00,4.74,0.34,17.85,0
3,2026-03-23T02:00:00+00:00,4.56,1.32,14.29,0
3,2026-03-23T03:00:00+00:00,7.95,0.0,19.27,0
3,2026-03-23T04:00:00+00:00,7.28,0.06,11.09,0
3,2026-03-23T05:00:00+00:00,10.43,0.0,15.21,0
3,2026-03-23T06:00:00+00:00,8.3,0.0,18.72,0
3,2026-03-23T07:00:00+00:00,9.44,0.0,20.29,0
3,2026-03-23T08:00:00+00:00,10.25,1.85,8.18,0
3,2026-03-23T09:00:00+00:00,12.6,2.2,19.5,0
3,2026-03-23T10:00:00+00:00,10.01,2.25,14.11,0
3,2026-03-23T11:00:00+00:00,11.44,0.62,8.59,0
3,2026-03-23T12:00:00+00:00,13.48,0.0,16.93,0
4,2026-03-20T13:00:00+00:00,9.91,1.17,32.27,0
4,2026-03-20T14:00:00+00:00,11.29,0.77,13.31,0
4,2026-03-20T15:00:00+00:00,9.63,1.55,6.66,0
4,2026-03-20T16:00:00+00:00,9.3,1.69,16.3,0
4,2026-03-20T17:00:00+00:00,8.82,0.3,16.35,0
4,2026-03-20T18:00:00+00:00,7.75,0.49,17.45,0
4,2026-03-20T19:00:00+00:00,8.14,0.0,7.92,0
4,2026-03-20T20:00:00+00:00,6.01,0.97,17.69,0
4,2026-03-20T21:00:00+00:00,5.58,0.33,2.92,0
4,2026-03-20T22:00:00+00:00,3.73,1.69,11.71,0
4,2026-03-20T23:00:00+00:00,3.91,0.94,11.44,0
4,2026-03-21T00:00:00+00:00,2.57,0.0,22.52,0
4,2026-03-21T01:00:00+00:00,6.98,0.92,1.56,0
4,2026-03-21T02:00:00+00:00,4.71,2.71,13.92,0
4,2026-03-21T03:00:00+00:00,5.17,0.16,10.07,0
4,2026-03-21T04:00:00+00:00,6.13,0.43,13.89,0
4,2026-03-21T05:00:00+00:00,5.61,0.47,21.99,0
4,2026-03-21T06:00:00+00:00,8.85,2.18,16.0,0
4,2026-03-21T07:00:00+00:00,8.85,0.0,10.75,0
4,2026-03-21T08:00:00+00:00,9.21,1.32,16.71,0
4,2026-03-21T09:00:00+00:00,10.43,0.49,8.76,0
4,2026-03-21T10:00:00+00:00,13.22,0.41,15.25,0
4,2026-03-21T11:00:00+00:00,12.21,0.07,20.35,0
4,2026-03-21T12:00:00+00:00,13.1,0.0,20.24,0
4,2026-03-21T13:00:00+00:00,13.71,1.57,5.59,0
4,2026-03-21T14:00:00+00:00,12.16,0.0,15.31,0
4,2026-03-21T15:00:00+00:00,10.81,0.93,8.96,0
4,2026-03-21T16:00:00+00:00,8.17,0.27,7.34,0
4,2026-03-21T17:00:00+00:00,8.34,0.98,18.15,0
4,2026-03-21T18:00:00+00:00,9.34,0.3,21.24,0
4,2026-03-21T19:00:00+00:00,8.6,0.0,11.9,0
4,2026-03-21T20:00:00+00:00,6.87,1.74,10.96,0
4,2026-03-21T21:00:00+00:00,3.41,0.0,8.92,0
4,2026-03-21T22:00:00+00:00,5.2,1.28,8.07,0
4,2026-03-21T23:00:00+00:00,1.09,1.96,19.3,1
4,2026-03-22T00:00:00+00:00,2.13,0.89,6.55,0
4,2026-03-22T01:00:00+00:00,6.11,1.14,17.7,0
4,2026-03-22T02:00:00+00:00,6.72,0.23,17.47,0
4,2026-03-22T03:00:00+00:00,8.4,0.24,18.96,0
4,2026-03-22T04:00:00+00:00,7.76,0.0,8.46,0
4,2026-03-22T05:00:00+00:00,4.69,0.7,11.44,0
4,2026-03-22T06:00:00+00:00,7.61,2.59,21.14,0
4,2026-03-22T07:00:00+00:00,8.03,0.0,22.91,0
4,2026-03-22T08:00:00+00:00,10.42,0.69,21.44,0
4,2026-03-22T09:00:00+00:00,12.07,0.52,19.87,0
4,2026-03-22T10:00:00+00:00,10.73,0.19,21.88,0
4,2026-03-22T11:00:00+00:00,12.92,2.32,16.08,0
4,2026-03-22T12:00:00+00:00,12.02,1.41,6.35,0
4,2026-03-22T13:00:00+00:00,13.2,0.28,19.32,0
4,2026-03-22T14:00:00+00:00,13.14,0.41,13.04,0
4,2026-03-22T15:00:00+00:00,12.15,0.37,6.76,0
4,2026-03-22T16:00:00+00:00,9.63,2.88,8.26,0
4,2026-03-22T17:00:00+00:00,8.45,1.23,19.35,0
4,2026-03-22T18:00:00+00:00,10.15,0.02,12.76,0
4,2026-03-22T19:00:00+00:00,10.1,0.09,20.39,0
4,2026-03-22T20:00:00+00:00,8.09,0.0,4.29,0
4,2026-03-22T21:00:00+00:00,5.66,0.0,11.84,0
4,2026-03-22T22:00:00+00:00,6.28,0.37,6.01,0
4,2026-03-22T23:00:00+00:00,4.01,0.51,11.05,0
4,2026-03-23T00:00:00+00:00,4.38,0.53,8.45,0
4,2026-03-23T01:00:00+00:00,5.18,0.78,8.7,0
4,2026-03-23T02:00:00+00:00,3.49,0.57,19.97,0
4,2026-03-23T03:00:00+00:00,7.0,0.13,9.57,0
4,2026-03-23T04:00:00+00:00,7.18,0.0,11.04,0
4,2026-03-23T05:00:00+00:00,7.67,0.51,21.47,0
4,2026-03-23T06:00:00+00:00,8.86,0.0,34.29,0
4,2026-03-23T07:00:00+00:00,12.21,0.37,10.17,0
4,2026-03-23T08:00:00+00:00,11.25,1.25,18.75,0
4,2026-03-23T09:00:00+00:00,12.84,2.89,22.18,0
4,2026-03-23T10:00:00+00:00,12.95,0.54,17.2,0
4,2026-03-23T11:00:00+00:00,13.27,1.74,18.18,0
4,2026-03-23T12:00:00+00:00,11.65,0.47,15.77,0
5,2026-03-20T13:00:00+00:00,12.51,0.0,18.34,0
5,2026-03-20T14:00:00+00:00,12.16,0.49,21.22,0
5,2026-03-20T15:00:00+00:00,13.46,0.76,14.44,0
5,2026-03-20T16:00:00+00:00,7.63,0.4,2.28,0
5,2026-03-20T17:00:00+00:00,9.99,1.78,5.31,0
5,2026-03-20T18:00:00+00:00,5.79,0.28,11.86,0
5,2026-03-20T19:00:00+00:00,5.16,0.01,17.04,0
5,2026-03-20T20:00:00+00:00,9.15,1.17,19.01,0
5,2026-03-20T21:00:00+00:00,6.8,0.56,16.09,0
5,2026-03-20T22:00:00+00:00,0.35,0.0,13.26,0
5,2026-03-20T23:00:00+00:00,4.76,0.81,11.09,0
5,2026-03-21T00:00:00+00:00,5.56,0.33,10.98,0
5,2026-03-21T01:00:00+00:00,6.76,0.0,8.67,0
5,2026-03-21T02:00:00+00:00,2.28,0.67,13.7,0
5,2026-03-21T03:00:00+00:00,4.42,1.04,13.51,0
5,2026-03-21T04:00:00+00:00,5.84,0.0,22.64,0
5,2026-03-21T05:00:00+00:00,7.28,0.48,16.42,0
5,2026-03-21T06:00:00+00:00,6.72,0.0,23.16,0
5,2026-03-21T07:00:00+00:00,11.0,1.42,21.41,0
5,2026-03-21T08:00:00+00:00,9.55,0.0,19.39,0
5,2026-03-21T09:00:00+00:00,9.75,0.9,1.8,0
5,2026-03-21T10:00:00+00:00,10.31,0.36,11.7,0
5,2026-03-21T11:00:00+00:00,12.47,0.42,17.94,0
5,2026-03-21T12:00:00+00:00,11.04,1.8,20.02,0
5,2026-03-21T13:00:00+00:00,7.4,0.15,21.66,0
5,2026-03-21T14:00:00+00:00,11.25,0.19,15.17,0
5,2026-03-21T15:00:00+00:00,12.22,0.0,10.65,0
5,2026-03-21T16:00:00+00:00,7.35,0.31,11.69,0
5,2026-03-21T17:00:00+00:00,11.68,3.3,11.23,0
5,2026-03-21T18:00:00+00:00,9.38,2.38,17.78,0
5,2026-03-21T19:00:00+00:00,9.57,0.0,16.25,0
5,2026-03-21T20:00:00+00:00,4.51,0.36,12.37,0
5,2026-03-21T21:00:00+00:00,8.32,0.0,14.98,0
5,2026-03-21T22:00:00+00:00,5.41,0.76,12.9,0
5,2026-03-21T23:00:00+00:00,2.9,0.54,25.2,0
5,2026-03-22T00:00:00+00:00,6.33,2.22,29.22,0
5,2026-03-22T01:00:00+00:00,5.51,0.5,16.05,0
5,2026-03-22T02:00:00+00:00,4.03,0.0,23.47,0
5,2026-03-22T03:00:00+00:00,8.22,0.31,7.88,0
5,2026-03-22T04:00:00+00:00,5.81,0.13,14.03,0
5,2026-03-22T05:00:00+00:00,6.59,0.23,14.94,0
5,2026-03-22T06:00:00+00:00,6.17,1.3,7.92,0
5,2026-03-22T07:00:00+00:00,10.12,0.89,15.32,0
5,2026-03-22T08:00:00+00:00,9.01,1.21,6.67,0
5,2026-03-22T09:00:00+00:00,9.18,0.46,15.1,0
5,2026-03-22T10:00:00+00:00,9.19,0.2,16.16,0
5,2026-03-22T11:00:00+00:00,12.97,1.45,15.93,0
5,2026-03-22T12:00:00+00:00,13.22,0.52,22.86,0
5,2026-03-22T13:00:00+00:00,12.15,0.24,3.14,0
5,2026-03-22T14:00:00+00:00,11.31,0.36,21.1,0
5,2026-03-22T15:00:00+00:00,12.52,0.16,17.84,0
5,2026-03-22T16:00:00+00:00,10.63,0.39,27.01,0
5,2026-03-22T17:00:00+00:00,8.41,0.0,12.56,0
5,2026-03-22T18:00:00+00:00,6.73,2.04,14.35,0
5,2026-03-22T19:00:00+00:00,4.26,0.32,15.4,0
5,2026-03-22T20:00:00+00:00,3.58,1.28,12.34,0
5,2026-03-22T21:00:00+00:00,5.39,0.5,4.91,0
5,2026-03-22T22:00:00+00:00,4.18,0.35,13.31,0
5,2026-03-22T23:00:00+00:00,2.02,0.85,14.73,0
5,2026-03-23T00:00:00+00:00,4.26,0.18,12.27,0
5,2026-03-23T01:00:00+00:00,4.25,0.05,15.0,0
5,2026-03-23T02:00:00+00:00,3.39,0.0,16.09,0
5,2026-03-23T03:00:00+00:00,4.73,1.05,22.3,0
5,2026-03-23T04:00:00+00:00,6.51,0.0,9.95,0
5,2026-03-23T05:00:00+00:00,5.1,0.29,13.1,0
5,2026-03-23T06:00:00+00:00,6.98,0.22,21.61,0
5,2026-03-23T07:00:00+00:00,9.49,2.41,13.71,0
5,2026-03-23T08:00:00+00:00,11.17,0.61,4.84,0
5,2026-03-23T09:00:00+00:00,10.58,0.94,13.16,0
5,2026-03-23T10:00:00+00:00,12.55,1.15,12.15,0
5,2026-03-23T11:00:00+00:00,13.89,0.0,22.48,0
5,2026-03-23T12:00:00+00:00,15.45,0.45,9.16,0
6,2026-03-20T13:00:00+00:00,11.79,0.0,22.88,0
6,2026-03-20T14:00:00+00:00,14.1,0.76,26.72,0
6,2026-03-20T15:00:00+00:00,12.18,0.3,5.51,0
6,2026-03-20T16:00:00+00:00,10.19,1.22,12.5,0
6,2026-03-20T17:00:00+00:00,10.71,0.13,30.92,0
6,2026-03-20T18:00:00+00:00,9.66,0.22,24.04,0
6,2026-03-20T19:00:00+00:00,10.57,0.25,10.68,0
6,2026-03-20T20:00:00+00:00,6.3,0.17,9.75,0
6,2026-03-20T21:00:00+00:00,5.84,0.2,9.61,0
6,2026-03-20T22:00:00+00:00,4.47,0.52,15.53,0
6,2026-03-20T23:00:00+00:00,4.85,0.8,11.92,0
6,2026-03-21T00:00:00+00:00,5.11,1.09,23.92,0
6,2026-03-21T01:00:00+00:00,6.7,0.78,17.01,0
6,2026-03-21T02:00:00+00:00,2.42,0.84,22.75,0
6,2026-03-21T03:00:00+00:00,5.17,0.05,22.8,0
6,2026-03-21T04:00:00+00:00,6.37,0.92,1.11,0
6,2026-03-21T05:00:00+00:00,6.47,5.73,19.23,0
6,2026-03-21T06:00:00+00:00,12.57,0.0,25.69,0
6,2026-03-21T07:00:00+00:00,8.24,0.19,13.12,0
6,2026-03-21T08:00:00+00:00,11.72,0.59,17.32,0
6,2026-03-21T09:00:00+00:00,12.85,0.57,24.02,0
6,2026-03-21T10:00:00+00:00,12.51,2.34,11.28,0
6,2026-03-21T11:00:00+00:00,13.76,3.4,8.61,0
6,2026-03-21T12:00:00+00:00,13.35,0.0,18.03,0
6,2026-03-21T13:00:00+00:00,12.78,0.27,19.39,0
6,2026-03-21T14:00:00+00:00,11.64,1.96,24.1,0
6,2026-03-21T15:00:00+00:00,11.63,0.0,12.99,0
6,2026-03-21T16:00:00+00:00,9.43,0.0,18.97,0
6,2026-03-21T17:00:00+00:00,11.19,0.24,12.48,0
6,2026-03-21T18:00:00+00:00,9.62,1.09,17.57,0
6,2026-03-21T19:00:00+00:00,6.22,1.9,18.82,0
6,2026-03-21T20:00:00+00:00,6.42,0.6,11.39,0
6,2026-03-21T21:00:00+00:00,6.63,0.13,13.23,0
6,2026-03-21T22:00:00+00:00,7.35,0.54,18.64,0
6,2026-03-21T23:00:00+00:00,3.05,0.0,14.73,0
6,2026-03-22T00:00:00+00:00,4.21,0.0,14.62,0
6,2026-03-22T01:00:00+00:00,6.74,0.06,18.88,0
6,2026-03-22T02:00:00+00:00,7.2,0.72,17.37,0
6,2026-03-22T03:00:00+00:00,3.83,2.55,21.72,0
6,2026-03-22T04:00:00+00:00,8.41,1.89,16.55,0
6,2026-03-22T05:00:00+00:00,8.52,0.0,14.09,0
6,2026-03-22T06:00:00+00:00,9.44,0.44,0.0,0
6,2026-03-22T07:00:00+00:00,11.6,1.23,14.74,0
6,2026-03-22T08:00:00+00:00,9.28,3.73,21.4,0
6,2026-03-22T09:00:00+00:00,10.99,1.32,10.44,0
6,2026-03-22T10:00:00+00:00,9.93,0.01,13.26,0
6,2026-03-22T11:00:00+00:00,11.94,0.0,8.33,0
6,2026-03-22T12:00:00+00:00,13.02,0.78,20.53,0
6,2026-03-22T13:00:00+00:00,12.74,0.18,12.1,0
6,2026-03-22T14:00:00+00:00,13.55,2.07,15.4,0
6,2026-03-22T15:00:00+00:00,14.33,1.02,17.97,0
6,2026-03-22T16:00:00+00:00,11.65,0.43,26.73,0
6,2026-03-22T17:00:00+00:00,9.32,0.0,25.7,0
6,2026-03-22T18:00:00+00:00,7.05,1.77,9.83,0
6,2026-03-22T19:00:00+00:00,9.43,0.26,21.91,0
6,2026-03-22T20:00:00+00:00,10.61,0.08,20.46,0
6,2026-03-22T21:00:00+00:00,4.98,4.02,10.49,0
6,2026-03-22T22:00:00+00:00,7.76,0.67,11.79,0
6,2026-03-22T23:00:00+00:00,3.22,0.46,22.04,0
6,2026-03-23T00:00:00+00:00,4.21,0.61,23.93,0
6,2026-03-23T01:00:00+00:00,1.26,2.53,8.99,1
6,2026-03-23T02:00:00+00:00,5.58,0.86,19.04,0
